,ds,y,view_duration
112,2017-04-05 16:00:00,496.0,3055035.0
113,2017-04-05 17:00:00,850.0,2630777.0
114,2017-04-05 18:00:00,1133.0,6964010.0
115,2017-04-05 19:00:00,1010.0,5960668.0
116,2017-04-05 20:00:00,1327.0,7629230.0
117,2017-04-05 21:00:00,1319.0,6732799.0
118,2017-04-05 22:00:00,1255.0,7832458.0
119,2017-04-05 23:00:00,2349.0,13399186.0
120,2017-04-06 00:00:00,634.0,4261827.0
121,2017-04-06 01:00:00,316.0,984451.0
122,2017-04-06 02:00:00,234.0,1133000.0
123,2017-04-06 03:00:00,189.0,751382.0
124,2017-04-06 04:00:00,62.0,325000.0
125,2017-04-06 05:00:00,344.0,3695789.0
126,2017-04-06 06:00:00,898.0,3951265.0
127,2017-04-06 07:00:00,1315.0,8737658.0
128,2017-04-06 08:00:00,693.0,5928014.0
129,2017-04-06 09:00:00,1467.0,4194871.0
130,2017-04-06 10:00:00,722.0,4276642.0
131,2017-04-06 11:00:00,838.0,5158000.0
132,2017-04-06 12:00:00,692.0,7172433.0
133,2017-04-06 13:00:00,1230.0,5229829.0
134,2017-04-06 14:00:00,1335.0,6636344.0
135,2017-04-06 15:00:00,840.0,7253745.0
136,2017-04-06 16:00:00,802.0,3146447.0
137,2017-04-06 17:00:00,1117.0,4489866.0
138,2017-04-06 18:00:00,1191.0,4597960.0
139,2017-04-06 19:00:00,1403.0,6677717.0
140,2017-04-06 20:00:00,698.0,5256285.0
141,2017-04-06 21:00:00,1523.0,7379000.0
142,2017-04-06 22:00:00,968.0,5868305.0
143,2017-04-06 23:00:00,1207.0,4991000.0
144,2017-04-07 00:00:00,459.0,3631468.0
145,2017-04-07 01:00:00,1.0,13000.0
146,2017-04-07 02:00:00,141.0,577000.0
147,2017-04-07 03:00:00,61.0,190000.0
148,2017-04-07 04:00:00,62.0,270000.0
149,2017-04-07 05:00:00,228.0,582000.0
150,2017-04-07 06:00:00,295.0,1296725.0
151,2017-04-07 07:00:00,343.0,1906645.0
152,2017-04-07 08:00:00,718.0,4425538.0
153,2017-04-07 09:00:00,1429.0,9125000.0
154,2017-04-07 10:00:00,979.0,4293169.0
155,2017-04-07 11:00:00,1114.0,13628683.0
156,2017-04-07 12:00:00,630.0,3379583.0
157,2017-04-07 13:00:00,478.0,2275345.0
158,2017-04-07 14:00:00,650.0,2525333.0
159,2017-04-07 15:00:00,1346.0,6990036.0
160,2017-04-07 16:00:00,684.0,3428000.0
161,2017-04-07 17:00:00,750.0,6374442.0
162,2017-04-07 18:00:00,1716.0,8104565.0
163,2017-04-07 19:00:00,1180.0,6774844.0
164,2017-04-07 20:00:00,2648.0,9763548.0
165,2017-04-07 21:00:00,1719.0,12993818.0
166,2017-04-07 22:00:00,2277.0,12101072.0
167,2017-04-07 23:00:00,587.0,4918385.0
168,2017-04-08 00:00:00,666.0,2685500.0
169,2017-04-08 01:00:00,524.0,1782142.0
170,2017-04-08 02:00:00,206.0,1794333.0
171,2017-04-08 03:00:00,0.0,0.0
172,2017-04-08 04:00:00,71.0,277000.0
173,2017-04-08 05:00:00,33.0,297000.0
174,2017-04-08 06:00:00,503.0,4172092.0
175,2017-04-08 07:00:00,359.0,1835636.0
176,2017-04-08 08:00:00,1430.0,8660903.0
177,2017-04-08 09:00:00,1907.0,7315312.0
178,2017-04-08 10:00:00,1370.0,5641449.0
179,2017-04-08 11:00:00,638.0,4396521.0
180,2017-04-08 12:00:00,1387.0,6722807.0
181,2017-04-08 13:00:00,1125.0,6670711.0
